input_file,factor,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,notes
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Ok Open Rev Depth,#428f4e,ok_open_rev_depth--edf7078316,0,"[382.67999267578125, 233.84498596191406, 481.7240295410156, 248.958984375]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Paid Off 200k+ RE/RE,#428f4e,paid_off_200k_re_re--737322e983,0,"[382.67999267578125, 250.84498596191406, 492.42706298828125, 265.958984375]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,No Open Mortgage,#212529,no_open_mortgage--ebe5b24987,0,"[382.67999267578125, 267.85498046875, 476.2239990234375, 282.968994140625]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,No Rev Acct Open 10K 2yr,#212529,no_rev_acct_open_10k_2yr--52bc04a72c,0,"[382.67999267578125, 284.864990234375, 514.7350463867188, 299.97900390625]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Open Accounts,#212529,open_accounts--ece4d3767c,1,"[56.689998626708984, 32.50998306274414, 152.75999450683594, 50.41098403930664]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Revolving Accounts,#374151,revolving_accounts--c091bf711c,1,"[56.689998626708984, 72.44001007080078, 143.20697021484375, 84.8330078125]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Balance,#374151,balance--8dfa30e024,1,"[333.989990234375, 72.44001007080078, 368.5049743652344, 84.8330078125]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Limit,#374151,limit--e4d68c5a97,1,"[398.0299987792969, 72.44001007080078, 419.5310363769531, 84.8330078125]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,%,#374151,--da39a3ee5e,1,"[439.8699951171875, 72.44001007080078, 447.8710021972656, 84.8330078125]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Payment Resp,#374151,payment_resp--bc5fc6bcd4,1,"[461.3900146484375, 72.44001007080078, 527.2450561523438, 84.8330078125]",exact,1.0,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,
