input_file,factor,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,notes
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Balance,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Limit,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,%,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Payment Resp,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Age,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,JPMCB CARD SERVICES (Flexible Spending Credit Card),#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$6,120",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$12,000",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,51%,#dc3545,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$176,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,I,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,SYNCB/PAYPAL (Credit Card),#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$0,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$4,300",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,0%,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$0,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,I,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,AMERICAN EXPRESS (Credit Card),#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$606,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$2,500",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,24%,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$40,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,I,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,JPMCB CARD SERVICES (Credit Card),#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$100,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$2,200",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,5%,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$40,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,I,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Credit Card Open Totals: (No Retail),#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$6,826",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$21,000",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,33%,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$256,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Revolving Accounts - Authorized User,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Balance,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Limit,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,%,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Payment Resp,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Age,#374151,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,AMERICAN EXPRESS (Credit Card),#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$11,414",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,"$38,562",#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,30%,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,$0,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,A,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,Totals,#212529,,,,none,0.0,,"""tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json""",no_extracted_lines
