input_file,pdf_lines_json,factor,spans_preview,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,review_action,reviewer_notes
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.pdf.lines.json,Paid Off 200k+ RE/RE,Paid Off 200k+ RE/RE...,#428f4e,paid_off_200k_re_re--737322e983,0,"[382.67999267578125, 250.84498596191406, 492.42706298828125, 265.958984375]",exact,1.00,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.pdf.lines.json,No Open Mortgage,No Open Mortgage...,#212529,no_open_mortgage--ebe5b24987,0,"[382.67999267578125, 267.85498046875, 476.2239990234375, 282.968994140625]",exact,1.00,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.pdf.lines.json,No Rev Acct Open 10K 2yr,No Rev Acct Open 10K 2yr...,#212529,no_rev_acct_open_10k_2yr--52bc04a72c,0,"[382.67999267578125, 284.864990234375, 514.7350463867188, 299.97900390625]",exact,1.00,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,Too Few Open Rev Accounts,Too Few Open Rev Accounts...,#dc3545,too_few_open_rev_accounts--ec1b6ece80,0,"[382.67999267578125, 165.8050079345703, 526.3510131835938, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,7k+ line for 12+yrs,7k+ line for 12+yrs...,#428f4e,7k_line_for_12_yrs--487a417e37,0,"[382.67999267578125, 182.8150177001953, 473.166015625, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,Seasoned Closed Accounts,Seasoned Closed Accounts...,#428f4e,seasoned_closed_accounts--de9556a1be,0,"[382.67999267578125, 199.8250274658203, 517.803955078125, 214.93902587890625]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,Great Closed Rev Depth,Great Closed Rev Depth...,#428f4e,great_closed_rev_depth--01b74bb769,0,"[382.67999267578125, 216.83497619628906, 502.50299072265625, 231.948974609375]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,Existing Open Mortgage,Existing Open Mortgage...,#428f4e,existing_open_mortgage--9205da8f64,0,"[382.67999267578125, 233.84498596191406, 500.677001953125, 248.958984375]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,Ok Open Rev Depth,Ok Open Rev Depth...,#428f4e,ok_open_rev_depth--edf7078316,0,"[382.67999267578125, 250.84498596191406, 481.7240295410156, 265.958984375]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,3+ Closed Rev Accnts,3+ Closed Rev Accnts...,#428f4e,3_closed_rev_accnts--b607705a41,0,"[382.67999267578125, 267.85498046875, 491.19500732421875, 282.968994140625]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.json,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.pdf.lines.json,Closed Accnts Over 10k,Closed Accnts Over 10k...,#428f4e,closed_accnts_over_10k--f836399f79,0,"[382.67999267578125, 284.864990234375, 500.666015625, 299.97900390625]",exact,1.00,,tmp/auto_map/user_1175_credit_summary_2025-09-01_103317_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,2 Charged Off Accts,2 Charged Off Accts...,#428f4e,2_charged_off_accts--398d8d95e1,0,"[382.67999267578125, 165.8050079345703, 481.72406005859375, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.json,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.pdf.lines.json,3 Unpaid Collection(s),3 Unpaid Collection(s)...,#428f4e,3_unpaid_collection_s--81d275c100,0,"[382.67999267578125, 182.8150177001953, 490.87591552734375, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_1059_credit_summary_2025-09-01_091957_ground_truth_unvalidated.mapped.json,,
