date,best_mean_f1,model,params
20251215-022814,0.77,RandomForestClassifier,"""{}"""
20251215-133147,0.7032915392877799,XGBClassifier,"""{\""smote__k_neighbors\"": 10, \""smote__enabled\"": true, \""feature_selecting_classifier__threshold\"": null, \""feature_selecting_classifier__max_features\"": 15, \""feature_selecting_classifier__estimator__n_estimators\"": 300, \""feature_selecting_classifier__estimator__min_child_weight\"": 10, \""feature_selecting_classifier__estimator__max_depth\"": 7, \""feature_selecting_classifier__estimator__learning_rate\"": 0.05, \""feature_selecting_classifier__estimator__gamma\"": 0.1, \""smote__categorical_feature_names\"": [\""AutomaticFinancing_missing_\"", \""AutomaticFinancing_below_600_\"", \""AutomaticFinancing_Status_Approved\"", \""AutomaticFinancing_Status_Declined\"", \""AutomaticFinancing_Status_NA_\"", \""AutomaticFinancing_Details_in_the_wallet_\"", \""AutomaticFinancing_Details_just_available_\"", \""AutomaticFinancing_Details_NA_\"", \""0UnsecuredFunding_missing_\"", \""0UnsecuredFunding_below_600_\"", \""0UnsecuredFunding_Details_To_book_\"", \""0UnsecuredFunding_Details_just_CL_\"", \""0UnsecuredFunding_Details_NA_\"", \""DebtResolution_missing_\"", \""DebtResolution_score_missing_\"", \""DebtResolution_below_600_\"", \""DebtResolution_Status_Approved\"", \""DebtResolution_Status_Declined\"", \""DebtResolution_Status_NA\""]}"""
20251224-192033,0.77,RandomForestClassifier,"""{}"""
20251224-194710,0.77,RandomForestClassifier,"""{}"""
